nombre,direccion,codigo_postal,telefono,calificacion,numero_resenas,tipo_cocina,horario,sitio_web,coordenadas
Rosa Matcha,"Blvrd Enrique Sánchez Alonso 1635, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 767 9133,4.4,176,"['restaurant', 'point_of_interest', 'food', 'establishment']","['Monday: 7:00\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200910:30\u202fPM']",https://rosamatcha.com/,"{'lat': 24.8293944, 'lng': -107.3995742}"
Seafood By Mr. Salmon,"Enrique Félix Castro 2115, Humaya, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 576 1167,4.7,726,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20098:00\u202fPM']",,"{'lat': 24.8216312, 'lng': -107.4093016}"
Venus club,"plazas, Deportiva, Infonavit Humaya, Humaya, 80020 Culiacán Rosales, Sin., Mexico",80020,,4.6,647,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 2:00\u2009–\u20097:00\u202fAM', 'Tuesday: 2:00\u2009–\u20097:00\u202fAM', 'Wednesday: 2:00\u2009–\u20097:00\u202fAM', 'Thursday: 2:00\u2009–\u20097:00\u202fAM', 'Friday: 2:00\u2009–\u20097:00\u202fAM', 'Saturday: 2:00\u2009–\u20097:00\u202fAM', 'Sunday: 2:00\u2009–\u20097:00\u202fAM']",,"{'lat': 24.8240387, 'lng': -107.4166263}"
Bonhomia - Cafe - Tres Ríos,"Blvrd Enrique Sánchez Alonso 2093, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 162 9595,4.5,677,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200911:00\u202fPM']",https://www.bonhomiacafe.mx/,"{'lat': 24.8258053, 'lng': -107.4003378}"
Omi Restaurante,"Desarrollo Urbano Omi Restaurante, Blvrd Alfonso Zaragoza Maytorena, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 578 8560,3.8,137,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20092:30\u202fPM']",https://instagram.com/omicafeemx?igshid=MmJiY2I4NDBkZg==,"{'lat': 24.8228639, 'lng': -107.4039454}"
Casanova Cantina,"Diego Valadés Ríos 100, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., Mexico",80020,667 105 6590,4.4,471,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 5:00\u2009–\u200911:00\u202fPM', 'Friday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: Open 24 hours', 'Sunday: Closed']",http://nocturna.mx/,"{'lat': 24.8147712, 'lng': -107.3981853}"
Casa Bon,"Calle Gral. Angel Flores 371, Primer Cuadro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 403 6183,4.6,803,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM']",http://instagram.com/casabonrestaurante,"{'lat': 24.8095645, 'lng': -107.3910373}"
Casa Anamaya,"Calle Gral. Angel Flores 416, Primer Cuadro, Centro, 80000 Culiacán Rosales, Sin., Mexico",80000,,4.5,210,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20092:00\u202fPM']",https://www.instagram.com/casaanamayamx/,"{'lat': 24.809491, 'lng': -107.390312}"
La Sazona,"Calle General Angel Flores, Esquina con, Av. Aquiles Serdán 389, Primer Cuadro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 733 4452,4.6,682,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: 1:00\u2009–\u200911:00\u202fPM', 'Wednesday: 1:00\u2009–\u200911:00\u202fPM', 'Thursday: 1:00\u2009–\u200911:00\u202fPM', 'Friday: 1:00\u202fPM\u2009–\u20091:00\u202fAM', 'Saturday: 1:00\u202fPM\u2009–\u20091:00\u202fAM', 'Sunday: 1:00\u2009–\u200911:00\u202fPM']",https://instagram.com/la_sazona,"{'lat': 24.8095671, 'lng': -107.3908418}"
Restaurant Santa Fe,"Hidalgo, Poniente 321, Primer Cuadro, Centro, 80000 Culiacán Rosales, Sin., Mexico",80000,667 716 2995,4.5,89,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20094:00\u202fPM']",http://santaferestauranteculiacan.com/,"{'lat': 24.8077512, 'lng': -107.3985489}"
